resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25001,1053,854,210,47,18,16,16,16,0.0,61,\N,\N,58,11,1:19.193,223.156,12
25002,1053,853,210,9,19,17,17,17,0.0,61,\N,\N,55,17,1:20.402,219.800,12
25003,1053,822,131,77,8,\N,R,18,0.0,30,\N,\N,30,19,1:28.485,199.721,4
25004,1053,847,3,63,12,\N,R,19,0.0,30,\N,\N,28,18,1:26.543,204.203,4
25005,1053,849,3,6,14,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
25006,1054,1,131,44,2,1,1,1,25.0,66,1:34:31.421,5671421,47,4,1:20.933,206.971,1
25007,1054,830,9,33,3,2,2,2,18.0,66,+29.148,5700569,62,3,1:20.695,207.581,1
25008,1054,822,131,77,1,3,3,3,16.0,66,+33.530,5704951,65,1,1:19.865,209.738,1
25009,1054,815,9,11,4,4,4,4,12.0,66,+39.735,5711156,55,2,1:20.643,207.715,1
25010,1054,846,1,4,7,5,5,5,10.0,66,+51.369,5722790,55,7,1:21.696,205.038,1
25011,1054,844,6,16,8,6,6,6,8.0,66,+55.781,5727202,63,6,1:21.496,205.541,1
25012,1054,839,214,31,6,7,7,7,6.0,66,+1:03.749,5735170,34,8,1:21.886,204.562,1
25013,1054,4,214,14,13,8,8,8,4.0,66,+1:04.808,5673229,66,5,1:21.032,206.718,1
25014,1054,817,1,3,16,9,9,9,2.0,66,+1:15.369,5746790,64,10,1:21.987,204.310,1
25015,1054,842,213,10,9,10,10,10,1.0,66,+1:16.463,5747884,65,11,1:22.014,204.243,1
25016,1054,832,6,55,5,11,11,11,0.0,66,+1:18.955,5750376,60,14,1:22.325,203.471,1
25017,1054,841,51,99,12,12,12,12,0.0,65,\N,\N,60,13,1:22.167,203.862,11
25018,1054,20,117,5,10,13,13,13,0.0,65,\N,\N,60,15,1:22.416,203.246,11
25019,1054,840,117,18,17,14,14,14,0.0,65,\N,\N,59,9,1:21.970,204.352,11
25020,1054,852,213,22,14,15,15,15,0.0,65,\N,\N,61,12,1:22.058,204.133,11
25021,1054,847,3,63,11,16,16,16,0.0,65,\N,\N,60,16,1:22.654,202.661,11
25022,1054,854,210,47,19,17,17,17,0.0,64,\N,\N,61,17,1:22.755,202.414,12
25023,1054,849,3,6,18,18,18,18,0.0,64,\N,\N,60,18,1:23.155,201.440,12
25024,1054,853,210,9,20,19,19,19,0.0,64,\N,\N,64,19,1:23.641,200.270,12
25025,1054,8,51,7,15,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,130
25026,1055,1,131,44,1,1,1,1,25.0,66,1:33:07.680,5587680,54,5,1:20.665,208.640,1
25027,1055,830,9,33,2,2,2,2,19.0,66,+15.841,5603521,62,1,1:18.149,215.357,1
25028,1055,822,131,77,3,3,3,3,15.0,66,+26.610,5614290,65,2,1:19.430,211.884,1
25029,1055,844,6,16,4,4,4,4,12.0,66,+54.616,5642296,64,4,1:20.459,209.174,1
25030,1055,815,9,11,8,5,5,5,10.0,66,+1:03.671,5651351,60,3,1:19.483,211.743,1
25031,1055,817,1,3,7,6,6,6,8.0,66,+1:13.768,5661448,60,10,1:21.853,205.612,1
25032,1055,832,6,55,6,7,7,7,6.0,66,+1:14.670,5662350,53,9,1:21.568,206.330,1
25033,1055,846,1,4,9,8,8,8,4.0,65,\N,\N,56,7,1:21.279,207.064,11
25034,1055,839,214,31,5,9,9,9,2.0,65,\N,\N,46,18,1:23.311,202.014,11
25035,1055,842,213,10,12,10,10,10,1.0,65,\N,\N,64,8,1:21.375,206.820,11
25036,1055,840,117,18,11,11,11,11,0.0,65,\N,\N,47,11,1:22.607,203.735,11
25037,1055,8,51,7,17,12,12,12,0.0,65,\N,\N,54,15,1:22.868,203.094,11
25038,1055,20,117,5,13,13,13,13,0.0,65,\N,\N,56,14,1:22.820,203.211,11
25039,1055,847,3,63,15,14,14,14,0.0,65,\N,\N,30,17,1:23.208,202.264,11
25040,1055,841,51,99,14,15,15,15,0.0,65,\N,\N,42,13,1:22.802,203.255,11
25041,1055,849,3,6,19,16,16,16,0.0,65,\N,\N,57,16,1:22.905,203.003,11
25042,1055,4,214,14,10,17,17,17,0.0,65,\N,\N,63,6,1:21.182,207.311,11
25043,1055,854,210,47,18,18,18,18,0.0,64,\N,\N,54,12,1:22.637,203.661,12
25044,1055,853,210,9,20,19,19,19,0.0,64,\N,\N,45,19,1:24.040,200.261,12
25045,1055,852,213,22,16,\N,R,20,0.0,6,\N,\N,5,20,1:24.825,198.408,10
25047,1056,832,6,55,4,2,2,2,18.0,78,+8.968,5945788,35,5,1:14.621,160.989,1
25046,1056,830,9,33,2,1,1,1,25.0,78,1:38:56.820,5936820,58,6,1:14.649,160.929,1
25048,1056,846,1,4,5,3,3,3,15.0,78,+19.427,5956247,76,7,1:14.670,160.883,1
25049,1056,815,9,11,9,4,4,4,12.0,78,+20.490,5957310,32,3,1:14.552,161.138,1
25050,1056,20,117,5,8,5,5,5,10.0,78,+52.591,5989411,33,11,1:15.316,159.503,1
25051,1056,842,213,10,6,6,6,6,8.0,78,+53.896,5990716,71,14,1:15.412,159.300,1
25052,1056,1,131,44,7,7,7,7,7.0,78,+1:08.231,6005051,69,1,1:12.909,164.769,1
25053,1056,840,117,18,13,8,8,8,4.0,77,\N,\N,74,8,1:14.674,160.875,11
25054,1056,839,214,31,11,9,9,9,2.0,77,\N,\N,41,12,1:15.316,159.503,11
25055,1056,841,51,99,10,10,10,10,1.0,77,\N,\N,41,13,1:15.331,159.472,11
25056,1056,8,51,7,14,11,11,11,0.0,77,\N,\N,55,9,1:14.971,160.237,11
25057,1056,817,1,3,12,12,12,12,0.0,77,\N,\N,43,4,1:14.578,161.082,11
25058,1056,4,214,14,17,13,13,13,0.0,77,\N,\N,70,10,1:15.026,160.120,11
25059,1056,847,3,63,15,14,14,14,0.0,77,\N,\N,59,15,1:15.539,159.033,11
25060,1056,849,3,6,18,15,15,15,0.0,77,\N,\N,66,16,1:15.573,158.961,11
25061,1056,852,213,22,16,16,16,16,0.0,77,\N,\N,66,2,1:14.037,162.259,11
25062,1056,853,210,9,19,17,17,17,0.0,75,\N,\N,64,19,1:16.866,156.287,13
25063,1056,854,210,47,20,18,18,18,0.0,75,\N,\N,51,18,1:16.425,157.189,13
25064,1056,822,131,77,3,\N,R,19,0.0,29,\N,\N,18,17,1:15.706,158.682,61
25065,1056,844,6,16,1,\N,W,20,0.0,0,\N,\N,\N,0,\N,\N,30
25066,1057,815,9,11,6,1,1,1,25.0,51,2:13:36.410,8016410,45,2,1:44.687,206.432,1
25067,1057,20,117,5,11,2,2,2,18.0,51,+1.385,8017795,41,4,1:44.890,206.032,1
25068,1057,842,213,10,4,3,3,3,15.0,51,+2.762,8019172,44,6,1:45.220,205.386,1
25069,1057,844,6,16,1,4,4,4,12.0,51,+3.828,8020238,46,8,1:45.382,205.071,1
25070,1057,846,1,4,9,5,5,5,10.0,51,+4.754,8021164,41,7,1:45.326,205.180,1
25071,1057,4,214,14,8,6,6,6,8.0,51,+6.382,8022792,42,11,1:45.624,204.601,1
25072,1057,852,213,22,7,7,7,7,6.0,51,+6.624,8023034,46,5,1:44.939,205.936,1
25073,1057,832,6,55,5,8,8,8,4.0,51,+7.709,8024119,42,13,1:45.700,204.454,1
25074,1057,817,1,3,13,9,9,9,2.0,51,+8.874,8025284,43,14,1:45.713,204.428,1
25075,1057,8,51,7,14,10,10,10,1.0,51,+9.576,8025986,43,10,1:45.601,204.645,1
25076,1057,841,51,99,20,11,11,11,0.0,51,+10.254,8026664,44,9,1:45.575,204.696,1
25077,1057,822,131,77,10,12,12,12,0.0,51,+11.264,8027674,43,12,1:45.665,204.521,1
25078,1057,854,210,47,17,13,13,13,0.0,51,+14.241,8030651,41,18,1:47.624,200.799,1
25079,1057,853,210,9,18,14,14,14,0.0,51,+14.315,8030725,40,19,1:47.747,200.569,1
25080,1057,1,131,44,2,15,15,15,0.0,51,+17.668,8034078,43,3,1:44.769,206.270,1
25081,1057,849,3,6,16,16,16,16,0.0,51,+43.379,8059789,42,17,1:46.608,202.712,1
25082,1057,847,3,63,15,\N,R,17,0.0,48,\N,\N,43,15,1:45.959,203.954,6
25083,1057,830,9,33,3,\N,R,18,0.0,45,\N,\N,44,1,1:44.481,206.839,3
25084,1057,840,117,18,19,\N,R,19,0.0,29,\N,\N,28,16,1:46.207,203.478,3
25085,1057,839,214,31,12,\N,R,20,0.0,3,\N,\N,2,20,1:50.850,194.955,101
25086,1059,830,9,33,1,1,1,1,26.0,53,1:27:25.770,5245770,35,1,1:36.404,218.156,1
25087,1059,1,131,44,2,2,2,2,18.0,53,+2.904,5248674,44,5,1:37.410,215.903,1
25088,1059,815,9,11,4,3,3,3,15.0,53,+8.811,5254581,53,2,1:36.693,217.504,1
25089,1059,822,131,77,3,4,4,4,12.0,53,+14.618,5260388,19,3,1:36.960,216.905,1
25090,1059,846,1,4,8,5,5,5,10.0,53,+1:04.032,5309802,52,6,1:37.425,215.870,1
25091,1059,817,1,3,10,6,6,6,8.0,53,+1:15.857,5321627,45,14,1:38.324,213.896,1
25092,1059,842,213,10,6,7,7,7,6.0,53,+1:16.596,5322366,44,11,1:38.103,214.378,1
25093,1059,4,214,14,9,8,8,8,4.0,53,+1:17.695,5323465,44,7,1:37.646,215.382,1
25094,1059,20,117,5,12,9,9,9,2.0,53,+1:19.666,5325436,52,4,1:37.138,216.508,1
25095,1059,840,117,18,19,10,10,10,1.0,53,+1:31.946,5337716,44,9,1:37.828,214.981,1
25096,1059,832,6,55,5,11,11,11,0.0,53,+1:39.337,5345107,19,18,1:38.931,212.584,1
25097,1059,847,3,63,14,12,12,12,0.0,52,\N,\N,52,13,1:38.314,213.918,11
25098,1059,852,213,22,0,13,13,13,0.0,52,\N,\N,18,19,1:38.980,212.479,11
25099,1059,839,214,31,11,14,14,14,0.0,52,\N,\N,33,15,1:38.645,213.200,11
25100,1059,841,51,99,13,15,15,15,0.0,52,\N,\N,36,16,1:38.702,213.077,11
25101,1059,844,6,16,7,16,16,16,0.0,52,\N,\N,43,8,1:37.681,215.304,11
25102,1059,8,51,7,17,17,17,17,0.0,52,\N,\N,46,10,1:37.992,214.621,11
25103,1059,849,3,6,16,18,18,18,0.0,52,\N,\N,50,12,1:38.313,213.920,11
25104,1059,854,210,47,15,19,19,19,0.0,52,\N,\N,51,17,1:38.847,212.765,11
25105,1059,853,210,9,18,20,20,20,0.0,52,\N,\N,34,20,1:39.317,211.758,11
25106,1058,830,9,33,1,1,1,1,25.0,71,1:22:18.925,4938925,68,3,1:08.017,228.542,1
25107,1058,1,131,44,2,2,2,2,19.0,71,+35.743,4974668,71,1,1:07.058,231.811,1
25108,1058,822,131,77,5,3,3,3,15.0,71,+46.907,4985832,43,5,1:08.619,226.537,1
25109,1058,815,9,11,4,4,4,4,12.0,71,+47.434,4986359,57,2,1:07.894,228.956,1
25110,1058,846,1,4,3,5,5,5,10.0,70,\N,\N,65,7,1:08.903,225.604,11
25111,1058,832,6,55,12,6,6,6,8.0,70,\N,\N,64,4,1:08.609,226.570,11
25112,1058,844,6,16,7,7,7,7,6.0,70,\N,\N,64,6,1:08.738,226.145,11
25113,1058,840,117,18,9,8,8,8,4.0,70,\N,\N,32,14,1:09.787,222.746,11
25114,1058,4,214,14,8,9,9,9,2.0,70,\N,\N,61,13,1:09.749,222.867,11
25115,1058,852,213,22,11,10,10,10,1.0,70,\N,\N,41,11,1:09.650,223.184,11
25116,1058,8,51,7,18,11,11,11,0.0,70,\N,\N,57,8,1:09.128,224.869,11
25117,1058,20,117,5,14,12,12,12,0.0,70,\N,\N,64,15,1:09.821,222.637,11
25118,1058,817,1,3,13,13,13,13,0.0,70,\N,\N,45,9,1:09.305,224.295,11
25119,1058,839,214,31,17,14,14,14,0.0,70,\N,\N,70,10,1:09.576,223.421,11
25120,1058,841,51,99,15,15,15,15,0.0,70,\N,\N,39,12,1:09.723,222.950,11
25121,1058,854,210,47,19,16,16,16,0.0,69,\N,\N,57,16,1:10.005,222.052,12
25122,1058,849,3,6,16,17,17,17,0.0,68,\N,\N,34,17,1:10.104,221.739,13
25123,1058,853,210,9,20,18,18,18,0.0,68,\N,\N,39,19,1:10.951,219.092,13
25124,1058,847,3,63,10,\N,R,19,0.0,36,\N,\N,28,18,1:10.499,220.496,5
25125,1058,842,213,10,6,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,4
25126,1060,830,9,33,1,1,1,1,26.0,71,1:23:54.543,5034543,62,1,1:06.200,234.815,1
25127,1060,822,131,77,5,2,2,2,18.0,71,+17.973,5052516,52,6,1:08.374,227.349,1
25128,1060,846,1,4,2,3,3,3,15.0,71,+20.019,5054562,62,10,1:08.471,227.027,1
25129,1060,1,131,44,4,4,4,4,12.0,71,+46.452,5080995,55,3,1:08.126,228.177,1
25130,1060,832,6,55,10,5,5,5,10.0,71,+57.144,5091687,70,2,1:07.762,229.402,1
25131,1060,815,9,11,3,6,6,6,8.0,71,+57.915,5092458,55,5,1:08.192,227.956,1
25132,1060,817,1,3,13,7,7,7,6.0,71,+1:00.395,5094938,56,14,1:08.820,225.876,1
25133,1060,844,6,16,12,8,8,8,4.0,71,+1:01.195,5095738,55,13,1:08.698,226.277,1
25134,1060,842,213,10,6,9,9,9,2.0,71,+1:01.844,5096387,54,4,1:08.146,228.110,1
25135,1060,4,214,14,14,10,10,10,1.0,70,\N,\N,70,7,1:08.405,227.246,11
25136,1060,847,3,63,8,11,11,11,0.0,70,\N,\N,56,16,1:08.900,225.613,11
25137,1060,852,213,22,7,12,12,12,0.0,70,\N,\N,54,9,1:08.455,227.080,11
25138,1060,840,117,18,9,13,13,13,0.0,70,\N,\N,54,12,1:08.659,226.405,11
25139,1060,841,51,99,15,14,14,14,0.0,70,\N,\N,55,17,1:09.042,225.149,11
25140,1060,8,51,7,16,15,15,15,0.0,70,\N,\N,69,15,1:08.874,225.699,11
25141,1060,849,3,6,18,16,16,16,0.0,70,\N,\N,62,11,1:08.520,226.865,11
25142,1060,20,117,5,11,17,17,17,0.0,69,\N,\N,51,8,1:08.420,227.196,4
25143,1060,854,210,47,19,18,18,18,0.0,69,\N,\N,56,18,1:09.394,224.007,12
25144,1060,853,210,9,20,19,19,19,0.0,69,\N,\N,49,19,1:09.757,222.842,12
25145,1060,839,214,31,17,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
25146,1061,1,131,44,2,1,1,1,25.0,52,1:58:23.284,7103284,45,2,1:29.699,236.430,1
25147,1061,844,6,16,4,2,2,2,18.0,52,+3.871,7107155,45,5,1:30.569,234.159,1
25148,1061,822,131,77,3,3,3,3,15.0,52,+11.125,7114409,45,4,1:30.524,234.275,1
25149,1061,846,1,4,5,4,4,4,12.0,52,+28.573,7131857,44,9,1:31.420,231.979,1
25150,1061,817,1,3,6,5,5,5,10.0,52,+42.624,7145908,51,8,1:31.284,232.325,1
25151,1061,832,6,55,10,6,6,6,8.0,52,+43.454,7146738,51,7,1:31.223,232.480,1
25152,1061,4,214,14,7,7,7,7,6.0,52,+1:12.093,7175377,48,10,1:31.698,231.276,1
25153,1061,840,117,18,14,8,8,8,4.0,52,+1:14.289,7177573,48,12,1:31.992,230.537,1
25154,1061,839,214,31,9,9,9,9,2.0,52,+1:16.162,7179446,48,14,1:32.210,229.992,1
25155,1061,852,213,22,16,10,10,10,1.0,52,+1:22.065,7185349,51,6,1:30.826,233.497,1
25156,1061,842,213,10,11,11,11,11,0.0,52,+1:25.327,7188611,52,3,1:30.266,234.945,1
25157,1061,847,3,63,12,12,12,12,0.0,51,\N,\N,49,13,1:32.049,230.394,11
25158,1061,841,51,99,15,13,13,13,0.0,51,\N,\N,49,15,1:32.346,229.653,11
25159,1061,849,3,6,17,14,14,14,0.0,51,\N,\N,51,16,1:32.477,229.328,11
25160,1061,8,51,7,13,15,15,15,0.0,51,\N,\N,48,11,1:31.895,230.780,11
25161,1061,815,9,11,0,16,16,16,0.0,51,\N,\N,50,1,1:28.617,239.317,11
25162,1061,853,210,9,19,17,17,17,0.0,51,\N,\N,51,18,1:32.909,228.262,11
25163,1061,854,210,47,18,18,18,18,0.0,51,\N,\N,50,17,1:32.862,228.377,11
25164,1061,20,117,5,8,\N,R,19,0.0,40,\N,\N,35,19,1:33.059,227.894,31
25165,1061,830,9,33,1,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
25166,1062,839,214,31,8,1,1,1,25.0,70,2:04:43.199,7483199,54,5,1:21.421,193.704,1
25167,1062,1,131,44,1,2,2,2,18.0,70,+2.736,7485935,49,2,1:18.715,200.363,1
25168,1062,832,6,55,15,3,3,3,15.0,70,+15.018,7498217,54,6,1:21.423,193.699,1
25169,1062,4,214,14,9,4,4,4,12.0,70,+15.651,7498850,41,3,1:20.359,196.264,1
25170,1062,842,213,10,5,5,5,5,11.0,70,+1:03.614,7546813,70,1,1:18.394,201.183,1
25171,1062,852,213,22,16,6,6,6,8.0,70,+1:15.803,7559002,43,10,1:22.450,191.286,1
25172,1062,849,3,6,18,7,7,7,6.0,70,+1:17.910,7561109,62,14,1:22.831,190.406,1
25173,1062,847,3,63,17,8,8,8,4.0,70,+1:19.094,7562293,62,9,1:22.112,192.074,1
25174,1062,830,9,33,3,9,9,9,2.0,70,+1:20.244,7563443,43,4,1:20.945,194.843,1
25175,1062,8,51,7,13,10,10,10,1.0,69,\N,\N,58,8,1:21.518,193.473,11
25176,1062,817,1,3,11,11,11,11,0.0,69,\N,\N,58,13,1:22.802,190.473,11
25177,1062,854,210,47,20,12,12,12,0.0,69,\N,\N,44,11,1:22.711,190.683,11
25178,1062,841,51,99,0,13,13,13,0.0,69,\N,\N,44,12,1:22.736,190.625,11
25179,1062,853,210,9,19,\N,R,14,0.0,3,\N,\N,\N,0,\N,\N,4
25180,1062,846,1,4,6,\N,R,15,0.0,2,\N,\N,\N,0,\N,\N,4
25181,1062,822,131,77,2,\N,R,16,0.0,0,\N,\N,\N,0,\N,\N,4
25182,1062,815,9,11,4,\N,R,17,0.0,0,\N,\N,\N,0,\N,\N,4
25183,1062,844,6,16,7,\N,R,18,0.0,0,\N,\N,\N,0,\N,\N,4
25184,1062,840,117,18,12,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4
25185,1062,20,117,5,10,\N,D,20,0.0,70,\N,\N,60,7,1:21.459,193.613,2
25186,1063,830,9,33,1,1,1,1,12.5,1,3:27.071,207071,\N,0,\N,\N,1
25187,1063,847,3,63,2,2,2,2,9.0,1,+1.995,209066,\N,0,\N,\N,1
25188,1063,1,131,44,3,3,3,3,7.5,1,+2.601,209672,\N,0,\N,\N,1
25189,1063,817,1,3,4,4,4,4,6.0,1,+4.496,211567,\N,0,\N,\N,1
25190,1063,20,117,5,5,5,5,5,5.0,1,+7.479,214550,\N,0,\N,\N,1
25191,1063,842,213,10,6,6,6,6,4.0,1,+10.177,217248,\N,0,\N,\N,1
25192,1063,839,214,31,8,7,7,7,3.0,1,+11.579,218650,\N,0,\N,\N,1
25193,1063,844,6,16,9,8,8,8,2.0,1,+12.608,219679,\N,0,\N,\N,1
25194,1063,849,3,6,10,9,9,9,1.0,1,+15.485,222556,\N,0,\N,\N,1
25195,1063,832,6,55,11,10,10,10,0.5,1,+16.166,223237,\N,0,\N,\N,1
25196,1063,4,214,14,12,11,11,11,0.0,1,+20.590,227661,\N,0,\N,\N,1
25197,1063,822,131,77,13,12,12,12,0.0,1,+22.414,229485,\N,0,\N,\N,1
25198,1063,841,51,99,14,13,13,13,0.0,1,+24.163,231234,\N,0,\N,\N,1
25199,1063,846,1,4,15,14,14,14,0.0,1,+27.110,234181,\N,0,\N,\N,1
25200,1063,852,213,22,16,15,15,15,0.0,1,+28.329,235400,\N,0,\N,\N,1
25201,1063,854,210,47,17,16,16,16,0.0,1,+29.507,236578,\N,0,\N,\N,1
25202,1063,853,210,9,18,17,17,17,0.0,1,+31.993,239064,\N,0,\N,\N,1
25203,1063,8,51,7,0,18,18,18,0.0,1,+36.054,243125,\N,0,\N,\N,1
25204,1063,815,9,11,0,19,19,19,0.0,1,+38.205,245276,\N,0,\N,\N,1
25205,1063,840,117,18,19,20,20,20,0.0,1,+44.108,251179,\N,0,\N,\N,1
25206,1064,830,9,33,1,1,1,1,25.0,72,1:30:05.395,5405395,60,3,1:13.275,209.244,1
25207,1064,1,131,44,2,2,2,2,19.0,72,+20.932,5426327,72,1,1:11.097,215.654,1
25208,1064,822,131,77,3,3,3,3,15.0,72,+56.460,5461855,69,2,1:12.549,211.338,1
25209,1064,842,213,10,4,4,4,4,12.0,71,\N,\N,57,10,1:14.818,204.929,11
25210,1064,844,6,16,5,5,5,5,10.0,71,\N,\N,58,9,1:14.780,205.033,11
25211,1064,4,214,14,9,6,6,6,8.0,71,\N,\N,60,7,1:14.323,206.294,11
25212,1064,832,6,55,6,7,7,7,6.0,71,\N,\N,45,13,1:15.260,203.725,11
25213,1064,815,9,11,0,8,8,8,4.0,71,\N,\N,59,4,1:13.461,208.714,11
25214,1064,839,214,31,8,9,9,9,2.0,71,\N,\N,54,8,1:14.675,205.321,11
25215,1064,846,1,4,13,10,10,10,1.0,71,\N,\N,48,6,1:14.236,206.535,11
25216,1064,817,1,3,10,11,11,11,0.0,71,\N,\N,59,11,1:14.920,204.650,11
25217,1064,840,117,18,12,12,12,12,0.0,70,\N,\N,57,15,1:15.611,202.780,12
25218,1064,20,117,5,15,13,13,13,0.0,70,\N,\N,63,5,1:13.958,207.312,12
25219,1064,841,51,99,7,14,14,14,0.0,70,\N,\N,66,12,1:15.125,204.091,12
25220,1064,9,51,88,16,15,15,15,0.0,70,\N,\N,44,14,1:15.442,203.234,12
25221,1064,849,3,6,0,16,16,16,0.0,70,\N,\N,25,18,1:15.790,202.301,12
25222,1064,847,3,63,11,17,17,17,0.0,69,\N,\N,57,16,1:15.628,202.734,6
25223,1064,854,210,47,17,18,18,18,0.0,69,\N,\N,36,19,1:15.927,201.936,13
25224,1064,852,213,22,14,\N,R,19,0.0,48,\N,\N,44,17,1:15.783,202.319,131
25225,1064,853,210,9,18,\N,R,20,0.0,41,\N,\N,35,20,1:16.066,201.567,9
25226,1065,817,1,3,2,1,1,1,26.0,53,1:21:54.365,4914365,53,1,1:24.812,245.894,1
25227,1065,846,1,4,3,2,2,2,18.0,53,+1.747,4916112,53,3,1:24.971,245.434,1
25228,1065,822,131,77,19,3,3,3,15.0,53,+4.921,4919286,34,2,1:24.827,245.850,1
25229,1065,844,6,16,5,4,4,4,12.0,53,+7.309,4921674,53,6,1:25.319,244.433,1
25230,1065,815,9,11,8,5,5,5,10.0,53,+8.723,4923088,53,4,1:25.156,244.901,1
25231,1065,832,6,55,6,6,6,6,8.0,53,+10.535,4924900,53,8,1:25.559,243.747,1
25232,1065,840,117,18,9,7,7,7,6.0,53,+15.804,4930169,52,13,1:25.853,242.912,1
25233,1065,4,214,14,10,8,8,8,4.0,53,+17.201,4931566,52,7,1:25.472,243.995,1
25234,1065,847,3,63,14,9,9,9,2.0,53,+19.742,4934107,53,11,1:25.835,242.963,1
25235,1065,839,214,31,12,10,10,10,1.0,53,+20.868,4935233,53,9,1:25.566,243.727,1
25236,1065,849,3,6,13,11,11,11,0.0,53,+23.743,4938108,50,16,1:25.953,242.630,1
25237,1065,20,117,5,11,12,12,12,0.0,53,+24.621,4938986,50,15,1:25.938,242.672,1
25238,1065,841,51,99,7,13,13,13,0.0,53,+27.216,4941581,50,10,1:25.718,243.295,1
25239,1065,9,51,88,17,14,14,14,0.0,53,+29.769,4944134,53,12,1:25.849,242.924,1
25240,1065,854,210,47,18,15,15,15,0.0,53,+51.088,4965453,52,17,1:26.707,240.520,1
25241,1065,853,210,9,16,\N,R,16,0.0,41,\N,\N,41,18,1:27.202,239.155,131
25242,1065,1,131,44,4,\N,R,17,0.0,25,\N,\N,3,14,1:25.870,242.864,4
25243,1065,830,9,33,1,\N,R,18,0.0,25,\N,\N,25,5,1:25.173,244.852,4
25244,1065,842,213,10,0,\N,R,19,0.0,3,\N,\N,2,19,1:29.005,234.310,22
